City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Reconquista,AR,80.82,broken clouds,-29.15,-59.65,Reconquista
215,Tautira,PF,87.8,light rain,-17.7333,-149.15,Tautira
216,East London,ZA,70.14,broken clouds,-33.0153,27.9116,East London
217,Patti,IN,75.2,haze,31.2808,74.8572,Patti
219,Poum,NC,79.12,overcast clouds,-20.2333,164.0167,Poum
220,Kutum,SD,70.74,scattered clouds,14.2,24.6667,Kutum
221,Masterton,NZ,70,broken clouds,-40.9597,175.6575,Masterton
222,Mogadishu,SO,82.17,scattered clouds,2.0371,45.3438,Mogadishu
223,Tessalit,ML,85.28,clear sky,20.1986,1.0114,Achemelmel
227,Presidencia Roque Saenz Pena,AR,86,overcast clouds,-26.7852,-60.4388,Presidencia Roque Sáenz Peña
228,Avarua,CK,82.4,scattered clouds,-21.2078,-159.775,Avarua District
232,Puerto Carreno,CO,74.71,overcast clouds,6.189,-67.4859,Puerto Carreño
235,Kendari,ID,75.6,overcast clouds,-3.945,122.4989,Kendari
236,Eyl,SO,78.31,clear sky,7.9803,49.8164,Eyl
237,Makakilo City,US,78.8,few clouds,21.3469,-158.0858,Kapolei
239,Pyapon,MM,78.87,few clouds,16.2833,95.6833,Pyapon
240,Maragogi,BR,77.59,overcast clouds,-9.0122,-35.2225,Maragogi
242,Santa Maria,BR,84.2,clear sky,-29.6842,-53.8069,Santa Maria
243,Lingao,CN,72.73,broken clouds,19.9103,109.6859,Lingao County
245,Bagli,IN,82.9,broken clouds,22.65,76.35,Bagli
249,Dingle,PH,78.1,broken clouds,10.9995,122.6711,Pototan
250,Lorengau,PG,81.66,overcast clouds,-2.0226,147.2712,Lorengau
251,Luganville,VU,79.27,overcast clouds,-15.5333,167.1667,Luganville
252,Bilma,NE,84.51,overcast clouds,18.6853,12.9164,Bilma
254,Kingsburg,US,75,clear sky,36.5138,-119.554,Kingsburg
257,Sinnamary,GF,78.26,moderate rain,5.3833,-52.95,Sinnamary
260,Padang,ID,77,scattered clouds,-0.9492,100.3543,Padang
262,Conceicao Do Araguaia,BR,82.4,clear sky,-8.2578,-49.2647,Conceição do Araguaia
263,Diu,IN,78.35,clear sky,20.7141,70.9822,Diu
264,Quepos,CR,78.8,broken clouds,9.4236,-84.1652,Quepos
272,Moindou,NC,77,overcast clouds,-21.6924,165.677,Mouidou
273,Bissau,GW,76.19,clear sky,11.8636,-15.5977,Bissau
275,Pizarro,CO,78.85,light rain,4.9533,-77.366,Pizarro
277,Butaritari,KI,81.99,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
279,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Mahebourg
281,Agustin Codazzi,CO,75.83,overcast clouds,10.0341,-73.2361,Codazzi
288,Bambous Virieux,MU,80.01,light rain,-20.3428,57.7575,Vieux Grand Port
293,Alta Floresta,BR,73.69,broken clouds,-9.8756,-56.0861,Alta Floresta
294,Saint-Joseph,RE,78.8,overcast clouds,-21.3667,55.6167,Saint-Joseph
298,Chimore,BO,72.07,overcast clouds,-16.9833,-65.1333,Chimoré
299,Auki,SB,83.52,overcast clouds,-8.7676,160.7034,Auki
302,Mubi,NG,83.03,scattered clouds,10.2676,13.2644,Mubi
307,Christchurch,NZ,75,scattered clouds,-43.5333,172.6333,Christchurch
308,San Patricio,US,89.6,clear sky,28.017,-97.5169,Sinton
311,Kahului,US,78.8,few clouds,20.8947,-156.47,Kahului
312,Jizan,SA,82.4,clear sky,17.3333,42.6667,بير أبو زيد الهلالي
314,Oriximina,BR,76.96,overcast clouds,-1.7656,-55.8661,Oriximiná
318,Buraydah,SA,73.4,few clouds,26.326,43.975,Buraydah
320,Dicabisagan,PH,76.1,overcast clouds,17.0818,122.4157,Ilagan
322,Alofi,NU,82.4,light rain,-19.0595,-169.9187,Alofi
323,Mariakani,KE,74.35,overcast clouds,-3.8633,39.4736,Mariakani
325,Summerville,US,73.99,overcast clouds,33.0185,-80.1757,Summerville
327,Atascadero,US,75,scattered clouds,35.4894,-120.6707,Atascadero
330,Riyadh,SA,91.4,light rain,24.6877,46.7219,Riyadh
