City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
62,Katobu,ID,-4.9408,122.5276,77.59,88,94,1.92,overcast clouds,2022-08-10 22:45
63,Bonthe,SL,7.5264,-12.505,80.55,86,100,8.72,overcast clouds,2022-08-10 22:45
64,Qaanaaq,GL,77.484,-69.3632,16.48,86,100,4.23,light snow,2022-08-10 22:45
65,Souillac,MU,-20.5167,57.5167,78.8,83,75,12.66,broken clouds,2022-08-10 22:42
66,Andira,BR,-0.7385,-47.8437,74.77,93,80,3.62,broken clouds,2022-08-10 22:45
67,Tocopilla,CL,-22.092,-70.1979,68.97,76,35,12.06,scattered clouds,2022-08-10 22:45
68,Buarcos,PT,40.166,-8.8768,57.99,94,40,2.3,scattered clouds,2022-08-10 22:45
69,Marinette,US,45.1,-87.6307,50,93,90,4.61,mist,2022-08-10 22:45
70,Nishihara,JP,26.1842,127.7558,71.6,68,40,20.71,scattered clouds,2022-08-10 22:45
71,Eldorado,BR,-23.7869,-54.2836,73,55,4,7.78,clear sky,2022-08-10 22:45
72,Hermanus,ZA,-34.4187,19.2345,60.01,91,100,1.01,overcast clouds,2022-08-10 22:40
73,Jamestown,US,42.097,-79.2353,73.4,27,1,10.36,clear sky,2022-08-10 22:43
74,Shelburne,CA,44.0787,-80.2041,69.8,46,1,9.22,clear sky,2022-08-10 22:37
75,Lazaro Cardenas,MX,17.9583,-102.2,82.09,53,3,13.11,clear sky,2022-08-10 22:45
76,Geraldton,AU,-28.7667,114.6,69.8,73,90,16.11,overcast clouds,2022-08-10 22:42
77,Lebu,CL,-37.6167,-73.65,53.19,85,0,9.46,clear sky,2022-08-10 22:45
78,Puerto Ayacucho,VE,5.6639,-67.6236,73.49,95,100,3.78,overcast clouds,2022-08-10 22:45
79,Carnarvon,AU,-24.8667,113.6333,77,88,99,17.27,overcast clouds,2022-08-10 22:45
80,Hualmay,PE,-11.0964,-77.6139,70.03,85,46,5.73,scattered clouds,2022-08-10 22:45
81,Kamaishi,JP,39.2667,141.8833,46.81,37,0,0.85,clear sky,2022-08-10 22:45
82,Tuktoyaktuk,CA,69.4541,-133.0374,-13,70,20,11.5,few clouds,2022-08-10 22:45
83,Rovaniemi,FI,66.5,25.7167,26.6,100,90,10.36,overcast clouds,2022-08-10 22:45
84,Saskylakh,RU,71.9167,114.0833,0.07,80,65,10.67,broken clouds,2022-08-10 22:45
85,Shubarkuduk,KZ,49.1447,56.4872,44.47,71,53,15.1,broken clouds,2022-08-10 22:36
86,Yulara,AU,-25.2406,130.9889,60.8,51,0,10.36,clear sky,2022-08-10 22:45
87,Bluff,NZ,-46.6,168.3333,62.01,86,85,1.99,overcast clouds,2022-08-10 22:45
88,Nanortalik,GL,60.1432,-45.2371,34.84,86,87,11.43,overcast clouds,2022-08-10 22:44
89,Tolaga Bay,NZ,-38.3667,178.3,71.49,75,32,12.35,scattered clouds,2022-08-10 22:45
